,date,value,SMA,WMA,EMA
6385,1990-11-20,7.81,7.756749999999999,7.75852380952381,7.778039350431323
6386,1990-11-21,7.8,7.754250000000001,7.762642857142856,7.780130840866435
6387,1990-11-22,7.8,7.755249999999999,7.7669999999999995,7.782023141736299
6388,1990-11-23,7.8,7.75775,7.771261904761905,7.783735223475699
6389,1990-11-26,7.85,7.765249999999999,7.78004761904762,7.7900461545732504
6390,1990-11-27,8.0,7.77675,7.8024047619047625,7.810041758899607
6391,1990-11-28,8.1,7.796249999999999,7.833190476190476,7.837656829480597
6392,1990-11-29,8.1,7.817750000000001,7.862119047619048,7.862641893339587
6393,1990-11-30,7.9,7.827749999999999,7.869952380952381,7.866199808259627
6394,1990-12-03,7.87,7.835249999999999,7.873976190476189,7.866561731282521
6395,1990-12-04,7.78,7.83575,7.868714285714286,7.858317756874662
6396,1990-12-05,7.67,7.82925,7.8529285714285715,7.840382732410408
6397,1990-12-06,7.65,7.82175,7.835857142857143,7.822251043609416
6398,1990-12-07,7.42,7.8027500000000005,7.797595238095237,7.783941420408519
6399,1990-12-10,7.25,7.7765,7.74495238095238,7.733089856560089
6400,1990-12-11,7.25,7.7515,7.694809523809523,7.687081298792462
6401,1990-12-12,7.3,7.729000000000001,7.651809523809525,7.65021641319318
6402,1990-12-13,7.37,7.7095,7.617619047619048,7.62352913574621
6403,1990-12-14,7.48,7.6985,7.595761904761905,7.609859694246572
6404,1990-12-17,7.7,7.695,7.5959047619047615,7.618444485270709
6405,1990-12-18,7.4,7.6745,7.567809523809524,7.597640248578262
6406,1990-12-19,7.4,7.6545000000000005,7.541666666666667,7.578817367761285
6407,1990-12-20,7.62,7.645500000000001,7.538380952380953,7.582739523212592
6408,1990-12-21,7.87,7.648999999999999,7.5597619047619045,7.610097663859012
6409,1990-12-24,7.81,7.647,7.575095238095239,7.6291359815867255
6410,1990-12-25,8.03,7.6485,7.611571428571428,7.667313507149894
6411,1990-12-26,8.25,7.656000000000001,7.668857142857142,7.722807458849903
6412,1990-12-27,7.95,7.6485,7.696857142857143,7.744444843721342
6413,1990-12-28,7.8,7.6435,7.711285714285713,7.749735810985976
6414,1990-12-31,7.1,7.605000000000001,7.65952380952381,7.687856209939693
6415,1991-01-01,7.109999999999999,7.5715,7.6123809523809545,7.632822285183531
6416,1991-01-02,7.12,7.544,7.569380952380952,7.583982067547004
6417,1991-01-03,7.0,7.511500000000001,7.517571428571429,7.528364727780622
6418,1991-01-04,7.1,7.4955,7.4783809523809515,7.48756808703961
6419,1991-01-07,7.2,7.492999999999999,7.450238095238095,7.460180650178695
6420,1991-01-08,7.1,7.4855,7.412809523809523,7.425877731114056
6421,1991-01-09,7.05,7.472999999999999,7.371333333333333,7.390079851960337
6422,1991-01-10,6.95,7.452000000000001,7.321523809523811,7.348167485106972
6423,1991-01-11,6.95,7.4254999999999995,7.273714285714286,7.310246772239641
6424,1991-01-14,7.2,7.400499999999999,7.252238095238094,7.299747079645391
6425,1991-01-15,7.2,7.3905,7.233142857142856,7.290247357774401
6426,1991-01-16,7.3,7.385499999999999,7.2245238095238085,7.291176180843506
6427,1991-01-17,7.0,7.354499999999999,7.187809523809524,7.263445116001266
6428,1991-01-18,6.97,7.3095,7.151190476190477,7.235497962096384
6429,1991-01-21,6.885,7.263250000000001,7.1107619047619055,7.202117203801491
6430,1991-01-22,6.8,7.20175,7.066642857142858,7.163820327248967
6431,1991-01-23,6.78,7.1282499999999995,7.026476190476191,7.127266010368113
6432,1991-01-24,6.7,7.0657499999999995,6.985690476190476,7.086574009380674
6433,1991-01-25,6.75,7.013250000000001,6.955619047619047,7.05451934182061
6434,1991-01-28,6.8,6.9982500000000005,6.935309523809524,7.030279404504361
6435,1991-01-29,6.82,6.983750000000001,6.918333333333334,7.010252794551566
6436,1991-01-30,6.77,6.96625,6.897976190476189,6.987371576022845
6437,1991-01-31,6.68,6.95025,6.8707142857142856,6.958098092592096
6438,1991-02-01,6.3,6.9102500000000004,6.808785714285714,6.895422083773802
6439,1991-02-04,6.3,6.8652500000000005,6.750666666666666,6.838715218652488
6440,1991-02-05,6.25,6.822749999999999,6.6920714285714284,6.782647102590347
6441,1991-02-06,6.3,6.7852500000000004,6.642285714285715,6.736680711867456
6442,1991-02-07,6.28,6.7517499999999995,6.594166666666666,6.693187310737223
6443,1991-02-08,6.28,6.71825,6.549238095238095,6.653836138286058
6444,1991-02-11,6.3,6.67325,6.5094047619047615,6.620137458449291
6445,1991-02-12,6.3,6.6282499999999995,6.473857142857143,6.589648176692215
6446,1991-02-13,6.28,6.577249999999999,6.440690476190476,6.560157874150099
6447,1991-02-14,6.3,6.54225,6.414285714285715,6.535380933754851
6448,1991-02-15,6.33,6.510249999999999,6.394071428571429,6.515820844825818
6449,1991-02-18,6.34,6.483,6.377857142857143,6.499076002461454
6450,1991-02-19,6.35,6.460500000000001,6.3651904761904765,6.484878287941315
6451,1991-02-20,6.35,6.439,6.354666666666667,6.472032736708809
6452,1991-02-21,6.38,6.423,6.349047619047619,6.463267714165113
6453,1991-02-22,6.44,6.407500000000001,6.350666666666666,6.461051741387483
6454,1991-02-25,6.52,6.3934999999999995,6.3613809523809515,6.466665861255342
6455,1991-02-26,6.5,6.3774999999999995,6.37152380952381,6.469840541135786
6456,1991-02-27,6.52,6.365,6.3850952380952375,6.474617632456187
6457,1991-02-28,6.48,6.3549999999999995,6.39604761904762,6.475130238888932
6458,1991-03-01,6.6,6.37,6.419380952380951,6.487022597089985
6459,1991-03-04,6.55,6.3825,6.43652380952381,6.493020444986177
6460,1991-03-05,6.45,6.3925,6.442952380952381,6.488923259749399
6461,1991-03-06,6.45,6.4,6.448428571428572,6.485216282630408
6462,1991-03-07,6.39,6.405500000000001,6.4474761904761895,6.476148065237036
6463,1991-03-08,6.26,6.4045000000000005,6.433619047619048,6.45556253521446
6464,1991-03-11,6.2,6.3995,6.414142857142857,6.431223246146416
6465,1991-03-12,6.2,6.3945,6.395142857142857,6.4092019846086625
6466,1991-03-13,6.16,6.3885,6.372809523809522,6.38546846226498
6467,1991-03-14,6.05,6.3759999999999994,6.340571428571429,6.35351908490641
6468,1991-03-15,6.07,6.363,6.311428571428572,6.326517267296277
6469,1991-03-18,6.15,6.3534999999999995,6.291142857142858,6.309706098982345
6470,1991-03-19,6.25,6.3485,6.281285714285714,6.30401980384117
6471,1991-03-20,6.2,6.341,6.267142857142858,6.294113155856297
6472,1991-03-21,6.17,6.3305,6.250857142857143,6.282292855298555
6473,1991-03-22,6.17,6.317,6.235571428571428,6.271598297651074
6474,1991-03-25,6.16,6.299,6.220619047619048,6.260969888350972
6475,1991-03-26,6.2,6.284000000000001,6.211190476190476,6.255163232317546
6476,1991-03-27,6.15,6.265499999999999,6.198428571428571,6.245147686382541
6477,1991-03-28,6.05,6.244000000000001,6.177904761904761,6.226562192441347
6478,1991-03-29,6.05,6.2165,6.159428571428571,6.20974674554217
6479,1991-04-01,6.05,6.1915,6.143571428571429,6.194532769776249
6480,1991-04-02,6.05,6.1715,6.1300952380952385,6.180767744083273
6481,1991-04-03,6.05,6.1515,6.11852380952381,6.168313673218199
6482,1991-04-04,6.02,6.133000000000001,6.106000000000001,6.154188561483132
6483,1991-04-05,5.95,6.1175,6.088571428571428,6.134742031818072
6484,1991-04-08,5.9,6.1025,6.067857142857143,6.112385647835398
6485,1991-04-09,5.9,6.0875,6.048571428571429,6.092158443279645
6486,1991-04-10,5.9,6.0745,6.030714285714285,6.073857639157774
6487,1991-04-11,5.88,6.066000000000001,6.012190476190476,6.055395006857034
6488,1991-04-12,5.8,6.0525,5.986857142857143,6.03107167287065
6489,1991-04-15,5.83,6.0365,5.965666666666666,6.011921989740111
6490,1991-04-16,5.87,6.0175,5.949809523809525,5.998405609764863
6491,1991-04-17,5.82,5.9985,5.931,5.981414599311067
6492,1991-04-18,5.95,5.9875,5.926380952380952,5.978422732710013
6493,1991-04-19,6.0,5.979,5.927571428571428,5.980477710547154
6494,1991-04-22,5.96,5.968999999999999,5.925761904761905,5.978527452399806
6495,1991-04-23,5.95,5.9565,5.923952380952381,5.975810552171254
6496,1991-04-24,5.9,5.944000000000001,5.918571428571429,5.968590499583515
6497,1991-04-25,5.88,5.935499999999999,5.91247619047619,5.96015330914699
6498,1991-04-26,5.92,5.929,5.911,5.956329184466324
6499,1991-04-29,5.88,5.9205,5.906333333333332,5.949059738326675
6500,1991-04-30,5.7,5.9030000000000005,5.8853333333333335,5.925339763247944
6501,1991-05-01,5.72,5.8865,5.867904761904762,5.905783595319568
6502,1991-05-02,5.7,5.8705,5.850142857142857,5.886185157670085
6503,1991-05-03,5.75,5.8605,5.838666666666668,5.873215142653886
6504,1991-05-06,5.78,5.8545,5.830999999999999,5.864337510020182
6505,1991-05-07,5.74,5.8465,5.820095238095238,5.852495842399213
6506,1991-05-08,5.73,5.838,5.808999999999999,5.840829571694526
6507,1991-05-09,5.73,5.8305,5.7987142857142855,5.830274374390285
6508,1991-05-10,5.75,5.828,5.791047619047618,5.8226291958769245
6509,1991-05-13,5.73,5.823,5.781714285714285,5.81380736769817
6510,1991-05-14,5.77,5.818,5.776666666666667,5.809635237441202
6511,1991-05-15,5.77,5.8155,5.772095238095239,5.805860452922992
6512,1991-05-16,5.75,5.8055,5.765857142857143,5.800540409787469
6513,1991-05-17,5.76,5.7935,5.76152380952381,5.796679418379138
6514,1991-05-20,5.76,5.7835,5.758333333333334,5.793186140438267
6515,1991-05-21,5.76,5.774,5.756095238095238,5.790025555634622
6516,1991-05-22,5.75,5.7665,5.753809523809523,5.786213597955134
6517,1991-05-23,5.75,5.76,5.752238095238094,5.782764683864169
6518,1991-05-24,5.76,5.752000000000001,5.752238095238095,5.780596618734248
6519,1991-05-27,5.755,5.74575,5.75252380952381,5.778158845521463
6520,1991-05-28,5.75,5.7482500000000005,5.752928571428572,5.775477050709895
6521,1991-05-29,5.75,5.749750000000001,5.753095238095239,5.773050664928
6522,1991-05-30,5.75,5.75225,5.753119047619047,5.7708553635062865
6523,1991-05-31,5.8,5.75475,5.757666666666666,5.773631043172354
6524,1991-06-03,5.86,5.75875,5.767690476190477,5.78185665810832
6525,1991-06-04,5.88,5.76575,5.779238095238095,5.791203643050385
6526,1991-06-05,5.93,5.77575,5.794880952380952,5.804422343712253
6527,1991-06-06,5.94,5.78625,5.81052380952381,5.817334501453943
6528,1991-06-07,5.95,5.79625,5.8261190476190485,5.829969310839282
6529,1991-06-10,5.95,5.80725,5.840761904761904,5.8414008050450645
6530,1991-06-11,5.97,5.81725,5.856261904761906,5.853648347421725
6531,1991-06-12,6.0,5.82875,5.873666666666667,5.867586600048227
6532,1991-06-13,6.0,5.8412500000000005,5.88997619047619,5.880197400043635
6533,1991-06-14,5.96,5.851249999999999,5.901285714285716,5.887797647658527
6534,1991-06-17,5.93,5.85975,5.908785714285713,5.891816919310095
6535,1991-06-18,5.95,5.86925,5.917380952380952,5.897358165090086
6536,1991-06-19,5.92,5.87775,5.922214285714285,5.899514530319602
6537,1991-06-20,5.9,5.88525,5.924333333333333,5.899560765527259
6538,1991-06-21,5.93,5.89375,5.928595238095237,5.902459740238949
6539,1991-06-24,5.94,5.9030000000000005,5.932999999999999,5.906035003073335
6540,1991-06-25,5.95,5.913,5.93747619047619,5.910222145637779
6541,1991-06-26,5.95,5.923,5.941,5.914010512719896
6542,1991-06-27,5.95,5.933,5.943571428571429,5.917438082937049
6543,1991-06-28,5.91,5.9384999999999994,5.941380952380952,5.916729694085901
6544,1991-07-01,5.91,5.941000000000001,5.938666666666666,5.916088770839624
